Year,Plot,Layer ,Pignatti_1982,Bartolucci et al_2024,spp_presence_cover 
2002,11,C,Helianthemum nummularium (L.) Mill. subsp. obscurum (Čelak.) Holub,Helianthemum nummularium (L.) Mill. subsp. obscurum (Čelak.) Holub,p
2002,11,C,Hieracium pilosella L.,Pilosella officinarum F.W.Schultz & Sch.Bip.,p
2002,11,C,Knautia purpurea (Vill.) Borbás,Knautia calycina (C.Presl) Guss.,p
2002,11,C,Koeleria macrantha (Ledeb.) Sprengel,Koeleria macrantha (Ledeb.) Schult. subsp. macrantha,p
2002,11,C,Leontodon crispus Vill.,Leontodon crispus Vill.,p
2002,11,C,Phleum ambiguum Ten.,Phleum hirsutum Honck. subsp. ambiguum (Ten.) Cif. & Giacom.,p
2002,11,C,Prunus spinosa L.,Prunus spinosa L. subsp. spinosa,p
2002,11,C,Scrophularia canina L.,Scrophularia canina L.,p
2002,11,C,Sedum rupestre L. subsp. rupestre,Petrosedum rupestre (L.) P.V.Heath,p
2002,11,C,Sedum sexangulare L.,Sedum sexangulare L.,p
2002,11,C,Senecio doronicum L. subsp. doronicum,Senecio doronicum (L.) L. subsp. doronicum,p
2002,11,C,Sesleria nitida Ten.,Sesleria nitida Ten.,p
2002,11,C,Silene otites (L.) Wibel,Silene otites (L.) Wibel subsp. otites,p
2002,11,C,Stachys recta L. subsp. recta,Stachys recta L. subsp. recta,p
2002,11,C,Tanacetum corymbosum var. tenuifolium (Willd.) Briq. et Cavill.,Tanacetum corymbosum (L.) Sch.Bip. subsp. achilleae (L.) Greuter,p
2002,11,C,Teucrium chamaedrys L.,Teucrium chamaedrys L. subsp. chamaedrys,p
2002,11,C,Thymus longicaulis Presl,Thymus longicaulis C.Presl subsp. longicaulis,p
2003,11,C,Achillea setacea Waldst. & Kit.,Achillea setacea Waldst. & Kit.,p
2003,11,C,Acinos alpinus (L.) Moench,Ziziphora granatensis (Boiss. & Reut.) Melnikov subsp. alpina (L.) Bräuchler & Gutermann,p
2003,11,C,Anthyllis vulneraria L. subsp. weldeniana (Rchb.) Cullen,Anthyllis vulneraria L. subsp. weldeniana (Rchb.) Cullen,p
2003,11,C,Asperula purpurea (L.) Ehrend.,Thliphthisa purpurea (L.) P.Caputo & Del Guacchio subsp. purpurea,p
2003,11,C,Brachypodium rupestre (Host) Roem. & Schult. subsp. rupestre,Brachypodium rupestre (Host) Roem. & Schult.,p
2003,11,C,Bromus erectus Huds.,Bromopsis erecta (Huds.) Fourr.,p
2003,11,C,Carlina acaulis L.,Carlina acaulis L. subsp. caulescens (Lam.) Schübl. & G.Martens,p
